Date,Time,Activity,White Light,Sleep/Wake
2/20/2019,2:27:00 PM,76,1679.04,1
2/20/2019,2:27:30 PM,105,449.58,1
2/20/2019,2:28:00 PM,15,26.56,1
2/20/2019,2:28:30 PM,31,25.11,1
2/20/2019,2:29:00 PM,64,12.9,1
2/20/2019,2:29:30 PM,46,34.53,1
2/20/2019,2:30:00 PM,149,1675.37,1
2/20/2019,2:30:30 PM,52,2250.29,1
2/20/2019,2:31:00 PM,29,2279.31,1
2/20/2019,2:31:30 PM,144,1025.68,1
2/20/2019,2:32:00 PM,56,1268.93,1
2/20/2019,2:32:30 PM,3,717.51,1
2/20/2019,2:33:00 PM,201,533.86,1
2/20/2019,2:33:30 PM,144,234.11,1
2/20/2019,2:34:00 PM,215,149.61,1
2/20/2019,2:34:30 PM,373,117.42,1
2/20/2019,2:35:00 PM,288,50.13,1
2/20/2019,2:35:30 PM,149,63.27,1
2/20/2019,2:36:00 PM,121,69.09,1
2/20/2019,2:36:30 PM,134,115.77,1
2/20/2019,2:37:00 PM,32,1.98,1
2/20/2019,2:37:30 PM,144,38.18,1
2/20/2019,2:38:00 PM,101,1.5,1
2/20/2019,2:38:30 PM,139,1,1
2/20/2019,2:39:00 PM,91,13.78,1
2/20/2019,2:39:30 PM,70,47.05,1
2/20/2019,2:40:00 PM,0,25.41,1
2/20/2019,2:40:30 PM,0,20.62,0
2/20/2019,2:41:00 PM,2,29.97,0
2/20/2019,2:41:30 PM,32,47.77,1
2/20/2019,2:42:00 PM,0,60.02,0
2/20/2019,2:42:30 PM,0,58.02,0
2/20/2019,2:43:00 PM,0,56.08,0
2/20/2019,2:43:30 PM,2,54.62,0
2/20/2019,2:44:00 PM,0,57.51,0
2/20/2019,2:44:30 PM,0,57.01,0
2/20/2019,2:45:00 PM,0,54.59,0
2/20/2019,2:45:30 PM,0,55.06,0
2/20/2019,2:46:00 PM,0,58,0
2/20/2019,2:46:30 PM,4,58.05,0
2/20/2019,2:47:00 PM,0,56.54,0
2/20/2019,2:47:30 PM,2,54.62,0
2/20/2019,2:48:00 PM,2,59.54,0
2/20/2019,2:48:30 PM,3,54.1,0
2/20/2019,2:49:00 PM,2,50.67,0
2/20/2019,2:49:30 PM,12,58.3,0
2/20/2019,2:50:00 PM,0,53.58,0
2/20/2019,2:50:30 PM,8,57.01,0
2/20/2019,2:51:00 PM,0,58.49,0
2/20/2019,2:51:30 PM,3,55.05,0
2/20/2019,2:52:00 PM,0,51.44,0
2/20/2019,2:52:30 PM,7,49.92,0
2/20/2019,2:53:00 PM,0,51.46,0
2/20/2019,2:53:30 PM,0,55.41,0
2/20/2019,2:54:00 PM,42,56.08,1
2/20/2019,2:54:30 PM,0,63.16,0
2/20/2019,2:55:00 PM,2,62.03,0
2/20/2019,2:55:30 PM,0,61.99,0
2/20/2019,2:56:00 PM,0,57.56,0
2/20/2019,2:56:30 PM,0,54.62,0
2/20/2019,2:57:00 PM,0,54.66,0
2/20/2019,2:57:30 PM,0,57.56,0
2/20/2019,2:58:00 PM,0,52.6,0
2/20/2019,2:58:30 PM,0,50.44,0
2/20/2019,2:59:00 PM,2,46.45,0
2/20/2019,2:59:30 PM,0,45.59,0
2/20/2019,3:00:00 PM,0,45.8,0
2/20/2019,3:00:30 PM,0,42.77,0
2/20/2019,3:01:00 PM,0,44.28,0
2/20/2019,3:01:30 PM,0,43.21,0
2/20/2019,3:02:00 PM,0,42.98,0
2/20/2019,3:02:30 PM,0,41.89,0
2/20/2019,3:03:00 PM,0,41.89,0
2/20/2019,3:03:30 PM,0,44.33,0
2/20/2019,3:04:00 PM,0,43.92,0
2/20/2019,3:04:30 PM,0,42.98,0
2/20/2019,3:05:00 PM,0,39.71,0
2/20/2019,3:05:30 PM,2,44.75,1
2/20/2019,3:06:00 PM,0,39.73,1
2/20/2019,3:06:30 PM,129,26.7,1
2/20/2019,3:07:00 PM,270,0.5,1
2/20/2019,3:07:30 PM,438,9.85,1
2/20/2019,3:08:00 PM,350,29.36,1
2/20/2019,3:08:30 PM,308,15.58,1
2/20/2019,3:09:00 PM,288,6.64,1
2/20/2019,3:09:30 PM,245,1,1
2/20/2019,3:10:00 PM,129,0,1
2/20/2019,3:10:30 PM,308,2.47,1
2/20/2019,3:11:00 PM,424,33.54,1
2/20/2019,3:11:30 PM,261,41.54,1
2/20/2019,3:12:00 PM,339,49.17,1
2/20/2019,3:12:30 PM,398,71.66,1
2/20/2019,3:13:00 PM,531,58.01,1
2/20/2019,3:13:30 PM,398,25.85,1
2/20/2019,3:14:00 PM,424,75.34,1
2/20/2019,3:14:30 PM,194,111.85,1
2/20/2019,3:15:00 PM,79,18.71,1
2/20/2019,3:15:30 PM,6,25.2,1
2/20/2019,3:16:00 PM,85,19.94,1
2/20/2019,3:16:30 PM,76,41.22,1
2/20/2019,3:17:00 PM,12,45.83,1
2/20/2019,3:17:30 PM,8,59.33,1
2/20/2019,3:18:00 PM,0,49.24,0
2/20/2019,3:18:30 PM,26,203.7,1
2/20/2019,3:19:00 PM,0,289.65,0
2/20/2019,3:19:30 PM,10,402.12,0
2/20/2019,3:20:00 PM,9,157.66,0
2/20/2019,3:20:30 PM,0,67.43,0
2/20/2019,3:21:00 PM,0,72.27,0
2/20/2019,3:21:30 PM,0,63.07,0
2/20/2019,3:22:00 PM,0,60.7,0
2/20/2019,3:22:30 PM,0,59.28,0
2/20/2019,3:23:00 PM,0,58.57,0
2/20/2019,3:23:30 PM,0,55.54,0
2/20/2019,3:24:00 PM,46,52.96,1
2/20/2019,3:24:30 PM,4,50.16,0
2/20/2019,3:25:00 PM,64,49.48,1
2/20/2019,3:25:30 PM,7,52.49,0
2/20/2019,3:26:00 PM,24,45.59,1
2/20/2019,3:26:30 PM,21,32.47,1
2/20/2019,3:27:00 PM,0,32.95,0
2/20/2019,3:27:30 PM,0,29.49,0
2/20/2019,3:28:00 PM,0,29,0
2/20/2019,3:28:30 PM,36,8.36,1
2/20/2019,3:29:00 PM,0,32.99,1
2/20/2019,3:29:30 PM,129,62.75,1
2/20/2019,3:30:00 PM,101,66.09,1
2/20/2019,3:30:30 PM,2,66.78,1
2/20/2019,3:31:00 PM,21,93.02,1
2/20/2019,3:31:30 PM,6,297.87,0
2/20/2019,3:32:00 PM,18,303.42,1
2/20/2019,3:32:30 PM,0,295.63,1
2/20/2019,3:33:00 PM,109,154.03,1
2/20/2019,3:33:30 PM,149,0,1
2/20/2019,3:34:00 PM,149,40.97,1
2/20/2019,3:34:30 PM,125,0,1
2/20/2019,3:35:00 PM,298,273.64,1
2/20/2019,3:35:30 PM,279,87.49,1
2/20/2019,3:36:00 PM,308,1,1
2/20/2019,3:36:30 PM,134,19.73,1
2/20/2019,3:37:00 PM,38,0,1
2/20/2019,3:37:30 PM,0,0,1
2/20/2019,3:38:00 PM,54,126.34,1
